mfo;edrpou;fullName;name
384436;14360570;ФІЛІЯ "КРИМСЬКЕ РЕГІОНАЛЬНЕ УПРАВЛІННЯ" ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КОМЕРЦІЙНОГО БАНКУ "ПРИВАТБАНК";КРИМСЬКЕ РУ ПАТ КБ "ПРИВАТБАНК"
805012;37988155;ГОЛОВНЕ УПРАВЛІННЯ ДЕРЖАВНОЇ КАЗНАЧЕЙСЬКОЇ СЛУЖБИ УКРАЇНИ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ;ГУ ДКСУ У ДНІПРОПЕТРОВСЬКІЙ ОБЛАСТІ
377777;26444836;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "УКРАЇНСЬКИЙ ФІНАНСОВИЙ СВІТ";ПАТ "КБ "УФС"
380980;26475516;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "ДАНІЕЛЬ";ПАТ "КОМЕРЦІЙНИЙ БАНК "ДАНІЕЛЬ"
380117;26500131;Київська філія ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА "МЕГАБАНК";Київська філія ПАТ "МЕГАБАНК"
380106;26519933;Публічне акціонерне товариство "Акціонерний комерційний банк "Траст-капітал";ПАТ "АКБ "Траст-капітал"
380883;26520688;Публічне акціонерне товариство "Український банк реконструкції та розвитку";АТ (публ.) "Український банк реконструкції та розвитку"
380377;26547581;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "УКРАЇНСЬКИЙ БУДІВЕЛЬНО - ІНВЕСТИЦІЙНИЙ БАНК";АТ "УКРБУДІНВЕСТБАНК"
380399;26549700;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК КАМБІО";ПАТ "БАНК КАМБІО"
380388;33308489;Публічне акціонерне товариство "Платинум Банк";ПАТ "ПтБ"
380054;33299878;Публічне акціонерне товариство "Комерційний банк "ФІНАНСОВА ІНІЦІАТИВА";ПАТ "КБ "ФІНАНСОВА ІНІЦІАТИВА"
380355;33305163;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК "ЇВРОБАНК";ПАТ КБ "ЇВРОБАНК"
380281;33695095;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ";ПАТ "БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ"
380775;14360570;ФІЛІЯ "КИЇВСІТІ" ПУБЛІЧНОГО АКЦІОНЕРНОГО ТОВАРИСТВА КОМЕРЦІЙНОГО БАНКУ "ПРИВАТБАНК";ФІЛІЯ "КИЇВСІТІ" ПАТ КБ"ПРИВАТБАНК"
380913;33881201;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БМ БАНК";АТ "БМ БАНК"
307305;33972230;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "КОМЕРЦІЙНИЙ БАНК "АКСІОМА";ПАТ "КБ "АКСІОМА"
380236;34047020;Публічне акціонерне товариство "Дельта Банк";АТ "Дельта Банк"
380418;34186061;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "БАНК ФОРВАРД";ПАТ "БАНК ФОРВАРД"
339339;34353904;ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО "МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК";ПАТ "МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК"
